entry_time,entry_price,exit_time,exit_price,profit_pts,win,spikes_caught,pnl_usd,equity
1774039500,2962.636,1774043340,2955.646,6.99,True,3,10.0,4072.0
1774046220,2953.271,1774050060,2965.146,-11.875,True,1,10.0,4082.0
1774092900,2995.701,1774096740,3017.89,-22.189,False,0,-3.0,4079.0
1774124760,3021.662,1774128600,3035.371,-13.709,True,1,10.0,4089.0
1774151340,3054.521,1774155180,3077.238,-22.717,False,0,-3.0,4086.0
1774216800,3139.783,1774220640,3152.498,-12.715,False,0,-3.0,4083.0
1774264260,3197.269,1774268100,3194.589,2.68,True,0,10.0,4093.0
1774270200,3196.352,1774274040,3205.666,-9.314,True,1,10.0,4103.0
1774297560,3223.324,1774301400,3207.021,16.303,True,2,10.0,4113.0
1774301700,3208.598,1774305540,3208.003,0.595,True,3,10.0,4123.0
1774305660,3208.429,1774309500,3213.371,-4.942,True,2,10.0,4133.0
1774312740,3205.132,1774316580,3215.965,-10.833,True,1,10.0,4143.0
1774321140,3213.708,1774324980,3220.399,-6.691,True,1,10.0,4153.0
1774339920,3198.707,1774343760,3197.357,1.35,True,1,10.0,4163.0
1774344180,3199.708,1774348020,3211.539,-11.831,True,1,10.0,4173.0
1774357440,3205.789,1774361280,3183.219,22.57,True,5,10.0,4183.0
1774362420,3184.663,1774366260,3188.478,-3.815,True,2,10.0,4193.0
1774367580,3190.686,1774371420,3195.059,-4.373,False,0,-3.0,4190.0
1774371540,3195.436,1774375380,3208.44,-13.004,False,0,-3.0,4187.0
1774398480,3203.171,1774402320,3189.184,13.987,True,4,10.0,4197.0
1774403400,3190.157,1774407240,3184.709,5.448,True,3,10.0,4207.0
1774408140,3185.358,1774411980,3202.678,-17.32,False,0,-3.0,4204.0
1774433580,3217.09,1774437420,3221.622,-4.532,True,1,10.0,4214.0
